Nome_Malattia,Anno,Regione,Casi_Totali,Sintomatici,Gravita_Media,Tasso_Mortalita,Percentuale_Su_Totale_Nazionale
Sclerosi Multipla,2018,Abruzzo,2100,1840,6.2,0.45,1.86
Sclerosi Multipla,2018,Basilicata,480,415,6.1,0.42,0.42
Sclerosi Multipla,2018,Calabria,2450,2150,6.2,0.48,2.17
Sclerosi Multipla,2018,Campania,8000,480,6.1,0.44,8.18
Sclerosi Multipla,2018,Emilia Romagna,8200,450,6.3,0.52,7.25
Sclerosi Multipla,2018,Friuli Venezia Giulia,1800,1580,6.4,0.55,1.59
Sclerosi Multipla,2018,Lazio,10500,9130,6.3,0.49,9.28
Sclerosi Multipla,2018,Liguria,2900,2580,6.5,0.58,2.56
Sclerosi Multipla,2018,Lombardia,18200,15800,6.4,0.51,16.09
Sclerosi Multipla,2018,Marche,2400,2110,6.3,0.50,2.12
Sclerosi Multipla,2018,Molise,240,205,6.2,0.46,0.21
Sclerosi Multipla,2018,Piemonte,8300,7300,6.4,0.53,7.34
Sclerosi Multipla,2018,Puglia,6500,5650,6.2,0.47,6.15
Sclerosi Multipla,2018,Sardegna,11500,10200,6.5,0.54,10.17
Sclerosi Multipla,2018,Sicilia,9500,8260,6.2,0.49,8.40
Sclerosi Multipla,2018,Toscana,7100,6170,6.3,0.52,6.28
Sclerosi Multipla,2018,Trentino Alto Adige,1200,1050,6.4,0.54,1.06
Sclerosi Multipla,2018,Umbria,1200,1040,6.3,0.51,1.06
Sclerosi Multipla,2018,Valle D'Aosta,120,105,6.5,0.57,0.11
Sclerosi Multipla,2018,Veneto,9600,8440,6.4,0.52,8.49
Sclerosi Multipla,2019,Abruzzo,2144,1878,6.2,0.45,1.86
Sclerosi Multipla,2019,Basilicata,490,429,6.1,0.42,0.42
Sclerosi Multipla,2019,Calabria,2501,2191,6.2,0.48,2.17
Sclerosi Multipla,2019,Campania,8985,7871,6.1,0.44,8.18
Sclerosi Multipla,2019,Emilia Romagna,8372,7334,6.3,0.52,7.25
Sclerosi Multipla,2019,Friuli Venezia Giulia,1838,1610,6.4,0.55,1.59
Sclerosi Multipla,2019,Lazio,10720,9391,6.3,0.49,9.28
Sclerosi Multipla,2019,Liguria,2961,2594,6.5,0.58,2.56
Sclerosi Multipla,2019,Lombardia,18582,16278,6.4,0.51,16.09
Sclerosi Multipla,2019,Marche,2450,2146,6.3,0.50,2.12
Sclerosi Multipla,2019,Molise,245,215,6.2,0.46,0.21
Sclerosi Multipla,2019,Piemonte,8474,7423,6.4,0.53,7.34
Sclerosi Multipla,2019,Puglia,6636,5813,6.2,0.47,6.15
Sclerosi Multipla,2019,Sardegna,11741,10285,6.5,0.54,10.17
Sclerosi Multipla,2019,Sicilia,9700,8497,6.2,0.49,8.40
Sclerosi Multipla,2019,Toscana,7249,6350,6.3,0.52,6.28
Sclerosi Multipla,2019,Trentino Alto Adige,1225,1073,6.4,0.54,1.06
Sclerosi Multipla,2019,Umbria,1225,1073,6.3,0.51,1.06
Sclerosi Multipla,2019,Valle D'Aosta,123,108,6.5,0.57,0.11
Sclerosi Multipla,2019,Veneto,9802,8586,6.4,0.52,8.49
Sclerosi Multipla,2020,Abruzzo,2189,1921,6.3,0.47,1.86
Sclerosi Multipla,2020,Basilicata,500,439,6.2,0.44,0.42
Sclerosi Multipla,2020,Calabria,2554,2242,6.3,0.50,2.17
Sclerosi Multipla,2020,Campania,9174,8054,6.2,0.46,8.18
Sclerosi Multipla,2020,Emilia Romagna,8548,7505,6.4,0.54,7.25
Sclerosi Multipla,2020,Friuli Venezia Giulia,1876,1647,6.5,0.57,1.59
Sclerosi Multipla,2020,Lazio,10946,9611,6.4,0.51,9.28
Sclerosi Multipla,2020,Liguria,3023,2654,6.6,1.00,2.56
Sclerosi Multipla,2020,Lombardia,18972,16657,6.5,0.53,16.09
Sclerosi Multipla,2020,Marche,2502,2197,6.4,0.52,2.12
Sclerosi Multipla,2020,Molise,250,220,6.3,0.48,0.21
Sclerosi Multipla,2020,Piemonte,8652,7596,6.5,0.55,7.34
Sclerosi Multipla,2020,Puglia,6776,5949,6.3,0.49,6.15
Sclerosi Multipla,2020,Sardegna,11988,10525,6.6,0.56,10.17
Sclerosi Multipla,2020,Sicilia,9903,8695,6.3,0.51,8.40
Sclerosi Multipla,2020,Toscana,7401,6498,6.4,0.54,6.28
Sclerosi Multipla,2020,Trentino Alto Adige,1251,1098,6.5,0.56,1.06
Sclerosi Multipla,2020,Umbria,1251,1098,6.4,0.53,1.06
Sclerosi Multipla,2020,Valle D'Aosta,125,110,6.6,0.59,0.11
Sclerosi Multipla,2020,Veneto,10007,8786,6.5,0.54,8.49
Sclerosi Multipla,2021,Abruzzo,2235,1962,6.3,0.45,1.86
Sclerosi Multipla,2021,Basilicata,511,448,6.2,0.42,0.42
Sclerosi Multipla,2021,Calabria,2607,2289,6.3,0.48,2.17
Sclerosi Multipla,2021,Campania,9366,8223,6.2,0.44,8.18
Sclerosi Multipla,2021,Emilia Romagna,8727,7662,6.4,0.52,7.25
Sclerosi Multipla,2021,Friuli Venezia Giulia,1916,1682,6.5,0.55,1.59
Sclerosi Multipla,2021,Lazio,11175,9812,6.4,0.49,9.28
Sclerosi Multipla,2021,Liguria,3087,2710,6.6,0.58,2.56
Sclerosi Multipla,2021,Lombardia,19371,17008,6.5,0.51,16.09
Sclerosi Multipla,2021,Marche,2554,2242,6.4,0.50,2.12
Sclerosi Multipla,2021,Molise,255,224,6.3,0.46,0.21
Sclerosi Multipla,2021,Piemonte,8834,7756,6.5,0.53,7.34
Sclerosi Multipla,2021,Puglia,6918,6074,6.3,0.47,6.15
Sclerosi Multipla,2021,Sardegna,12240,10746,6.6,0.54,10.17
Sclerosi Multipla,2021,Sicilia,10111,8878,6.3,0.49,8.40
Sclerosi Multipla,2021,Toscana,7557,6635,6.4,0.52,6.28
Sclerosi Multipla,2021,Trentino Alto Adige,1277,1121,6.5,0.54,1.06
Sclerosi Multipla,2021,Umbria,1277,1121,6.4,0.51,1.06
Sclerosi Multipla,2021,Valle D'Aosta,128,112,6.6,0.57,0.11
Sclerosi Multipla,2021,Veneto,10218,8971,6.5,0.52,8.49
Sclerosi Multipla,2022,Abruzzo,2282,2008,6.3,0.44,1.86
Sclerosi Multipla,2022,Basilicata,521,459,6.2,0.41,0.42
Sclerosi Multipla,2022,Calabria,2662,2343,6.3,0.47,2.17
Sclerosi Multipla,2022,Campania,9563,8415,6.2,0.43,8.18
Sclerosi Multipla,2022,Emilia Romagna,8911,7842,6.4,0.51,7.25
Sclerosi Multipla,2022,Friuli Venezia Giulia,1956,1721,6.5,0.54,1.59
Sclerosi Multipla,2022,Lazio,11410,10041,6.4,0.48,9.28
Sclerosi Multipla,2022,Liguria,3152,2774,6.6,0.57,2.56
