Nome_Malattia,Anno,Casi_Totali
Sclerosi Multipla,2018,105170
Sclerosi Multipla,2019,115463
Sclerosi Multipla,2020,117888
Sclerosi Multipla,2021,120364
Sclerosi Multipla,2022,133000
Sclerosi Multipla,2023,126473
Sclerosi Multipla,2024,129970
Sclerosi Multipla,2025,133800
Celiachia,2018,218100
Celiachia,2019,224976
Celiachia,2020,231780
Celiachia,2021,240230
Celiachia,2022,247272
Celiachia,2023,255185
Celiachia,2024,263351
Celiachia,2025,271777
Diabete Tipo 1,2018,250000
Diabete Tipo 1,2019,255000
Diabete Tipo 1,2020,260098
Diabete Tipo 1,2021,265311
Diabete Tipo 1,2022,270609
Diabete Tipo 1,2023,276020
Diabete Tipo 1,2024,281541
Diabete Tipo 1,2025,287369
Tiroidite di Hashimoto,2018,476050
Tiroidite di Hashimoto,2019,484351
Tiroidite di Hashimoto,2020,492215
Tiroidite di Hashimoto,2021,499542
Tiroidite di Hashimoto,2022,506999
Tiroidite di Hashimoto,2023,514334
Tiroidite di Hashimoto,2024,521037
Tiroidite di Hashimoto,2025,528559
Morbo di Crohn,2018,41380
Morbo di Crohn,2019,42438
Morbo di Crohn,2020,43765
Morbo di Crohn,2021,44852
Morbo di Crohn,2022,45879
Morbo di Crohn,2023,46964
Morbo di Crohn,2024,48010
Morbo di Crohn,2025,49176
